Country,Military %, Education %,R&D %,Health %,IQ,Life Ranking,Life Exp.
Israel,5.3,5.8,4.95,7.41,94,31,82.8
USA,3.4,5,2.84,17.06,98,18,78.9
Singapore,3.2,2.9,1.94,4.44,108,16,83.8
Saudi Arabia,8,5.6,0.82,5.23,81,71,75
Norway,1.7,8,2.07,10.45,99,2,82.3
Australia,1.9,7.3,1.87,9.21,99,16,83.3
"Korea, South",2.7,5.1,4.81,7.6,106,29,82.8
Denmark,1.3,7.6,3.06,10.11,99,5,80.8
France,1.9,5.4,2.2,11.31,98,23,82.5
UK,1.7,5.5,1.72,9.63,100,11,81.2
Luxembourg,0.6,4,1.24,5.48,99,9,82.1
Switzerland,0.7,5.1,3.37,12.35,102,3,83.4
Canada,1.3,5.5,1.57,10.57,101,14,82.3
Germany,1.3,4.8,3.09,11.25,100,8,81.2
Sweden,1.1,7.7,3.34,11.02,99,4,82.7
Greece,2.6,4.1,1.18,8.04,92,42,82.1
Russia,3.9,3.7,0.99,5.34,96,74,72.4
Japan,0.9,3.6,3.26,10.94,105,19,84.5
Lebanon,4.2,2.4,0.22,8.2,82,104,78.9
Turkey,5,4.4,0.96,4.22,89,91,77.8
China,1.9,4,2.19,5.15,104,57,76.7
Iran,2.3,4,0.83,8.66,84,119,76.5
Brazil,1.5,6.3,1.26,9.47,83,69,75.7
Indonesia,0.7,3.6,0.23,2.99,84,63,71.5
Bangladesh,1.3,2,0,2.27,77,127,72.3
Nigeria,0.5,0.85,0.13,3.76,70,148,54.3
UAE,5.6,1.3,1.3,3.33,83,40,77.8
Venezuela,0.5,3.6,0.34,1.18,85,143,72.1
Mexico,0.5,4.9,0.31,5.52,86,67,75
India,2.4,3.8,0.65,3.53,81,101,69.4
Pakistan,4,2.9,0.24,2.9,82,140,67.1
Egypt,1.2,3.8,0.72,5.29,81,126,71.8